2020
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/chikunbr.def
Chikungunya Fever
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260870 LAGOA DOS GATOS";-;1;1;1;-;1;-;3;1;-;1;-;-;9
"260875 LAGOA GRANDE";-;1;12;33;42;80;86;46;7;4;1;2;-;314
"260880 LAJEDO";-;7;21;63;67;58;22;14;4;2;2;1;3;264
"260890 LIMOEIRO";-;7;11;22;38;47;49;74;37;23;12;9;2;331
"260900 MACAPARANA";-;4;19;14;14;9;10;8;31;10;7;11;5;142
"260910 MACHADOS";-;3;1;10;44;48;39;15;4;-;-;1;-;165
"260915 MANARI";-;2;2;11;11;5;12;9;1;-;1;-;-;54
"260920 MARAIAL";-;-;3;4;3;1;-;-;1;-;-;2;3;17
"260930 MIRANDIBA";-;6;33;84;478;92;35;14;3;-;1;-;1;747
"260940 MORENO";-;18;62;83;45;36;44;61;57;83;23;11;3;526
"260950 NAZARE DA MATA";-;4;13;94;86;85;49;23;14;9;6;15;-;398
"260960 OLINDA";-;74;63;116;123;305;545;395;277;163;109;79;54;2303
"260970 OROBO";-;7;4;21;47;27;48;34;12;19;11;22;4;256
"260980 OROCO";-;1;-;11;13;11;3;1;2;1;2;1;1;47
"260990 OURICURI";-;18;12;77;29;46;16;14;7;2;-;4;1;226
"261000 PALMARES";-;11;34;20;14;26;14;14;8;24;23;6;3;197
"261020 PANELAS";-;-;2;6;4;6;4;7;-;-;-;-;1;30
"261040 PARNAMIRIM";-;11;12;25;62;104;81;59;22;3;1;1;1;382
"261050 PASSIRA";-;7;7;5;12;23;20;42;28;9;8;2;2;165
"261060 PAUDALHO";-;4;12;19;58;265;584;373;208;147;84;28;4;1786
"261070 PAULISTA";-;178;229;251;283;469;399;446;349;293;314;220;128;3559
"261080 PEDRA";-;3;7;15;23;22;11;10;10;-;3;7;1;112
"261090 PESQUEIRA";-;-;4;2;3;16;5;2;2;3;1;-;3;41
"261100 PETROLANDIA";-;3;2;-;-;1;1;7;1;-;1;-;-;16
"261110 PETROLINA";-;305;775;1268;819;660;243;131;71;42;27;41;71;4453
"261120 POCAO";-;-;-;-;-;2;1;-;-;-;-;-;1;4
"261130 POMBOS";-;-;-;-;5;2;1;1;4;-;-;-;-;13
"261140 PRIMAVERA";-;-;-;-;-;8;13;18;10;10;21;10;4;94
"261150 QUIPAPA";-;21;44;132;103;223;213;121;43;8;9;6;11;934
"261153 QUIXABA";-;-;-;1;8;22;28;9;4;-;-;-;-;72
