2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/zikabr.def
Zika Virus
"Município de residência";"Jan";"Fev";"Mar";"Total"
"310850 BOTUMIRIM";1;2;-;3
"311000 CAETE";17;5;1;23
"311010 CAIANA";-;1;-;1
"311190 CANA VERDE";-;1;-;1
"311230 CAPELINHA";-;1;-;1
"311330 CARANGOLA";1;5;-;6
"311400 CARMO DA MATA";-;1;-;1
"311560 CEDRO DO ABAETE";-;1;-;1
"311860 CONTAGEM";3;3;-;6
"311880 CORACAO DE JESUS";1;-;-;1
"311920 COROACI";-;1;-;1
"311940 CORONEL FABRICIANO";2;-;-;2
"312080 CRUZILIA";2;-;-;2
"312083 CUPARAQUE";-;2;-;2
"312090 CURVELO";1;2;-;3
"312200 DIVINO";-;1;-;1
"312220 DIVINOLANDIA DE MINAS";-;1;-;1
"312230 DIVINOPOLIS";1;1;-;2
"312247 DOM BOSCO";1;-;-;1
"312352 DURANDE";1;-;-;1
"312370 ENGENHEIRO CALDAS";-;1;-;1
"312420 ESPERA FELIZ";-;2;-;2
"312500 EWBANK DA CAMARA";-;-;1;1
"312570 FELIXLANDIA";3;2;-;5
"312660 FRANCISCO DUMONT";1;2;-;3
"312700 FRONTEIRA";1;-;-;1
"312710 FRUTAL";-;1;-;1
"312770 GOVERNADOR VALADARES";2;26;-;28
"312780 GRAO MOGOL";-;1;-;1
"313250 ITAMARANDIBA";-;-;1;1
"313320 ITANHOMI";1;-;-;1
"313410 ITUETA";1;-;-;1
"313420 ITUIUTABA";1;5;-;6
"313520 JANUARIA";1;3;1;5
"313620 JOAO MONLEVADE";-;2;-;2
"313720 LAGOA DA PRATA";2;6;-;8
"314200 MIRABELA";1;1;-;2
"314330 MONTES CLAROS";11;12;-;23
"314430 NANUQUE";1;-;-;1
"314470 NOVA ERA";-;1;-;1
"314505 NOVA PORTEIRINHA";-;1;-;1
"314560 OLIVEIRA";-;1;-;1
"314630 PADRE PARAISO";-;-;1;1
"314700 PARACATU";2;6;-;8
"314730 PARAISOPOLIS";1;-;-;1
"314740 PARAOPEBA";-;1;-;1
"314800 PATOS DE MINAS";-;4;-;4
"314995 PERIQUITO";-;1;-;1
"315030 PIEDADE DO RIO GRANDE";-;9;-;9
"315120 PIRAPORA";-;2;-;2
"315140 PITANGUI";-;1;-;1
"315210 PONTE NOVA";-;1;-;1
"315430 RESPLENDOR";-;3;-;3
"315460 RIBEIRAO DAS NEVES";2;-;-;2
"315480 RIO ACIMA";-;6;2;8
"315670 SABARA";-;2;-;2
"315720 SANTA BARBARA";1;-;-;1
"315980 SANTA VITORIA";-;2;-;2
"316090 SAO BRAS DO SUACUI";1;-;-;1
