2018
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/transmentalbr.def
Work-related Mental Disorders
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"230240 BOA VIAGEM";-;-;-;-;-;-;-;1;-;-;-;-;1
"230260 CAMOCIM";-;-;-;1;1;5;1;1;-;2;4;4;19
"230270 CAMPOS SALES";-;-;-;-;-;-;1;-;-;-;-;-;1
"230280 CANINDE";-;-;-;-;-;-;-;-;4;1;-;-;5
"230310 CARIRE";-;-;-;-;-;-;-;-;-;-;-;1;1
"230340 CARNAUBAL";1;-;-;-;-;-;-;-;-;-;-;-;1
"230350 CASCAVEL";-;-;-;2;1;1;3;1;11;3;4;2;28
"230370 CAUCAIA";-;-;-;1;-;-;-;-;-;-;-;-;1
"230420 CRATO";-;-;-;-;-;-;1;-;-;2;-;-;3
"230423 CROATA";1;1;1;2;1;-;-;-;-;1;-;-;7
"230428 EUSEBIO";-;-;-;-;-;-;-;-;1;-;-;-;1
"230430 FARIAS BRITO";-;-;-;-;-;-;-;-;-;1;-;-;1
"230440 FORTALEZA";5;5;1;3;2;7;2;2;1;3;10;6;47
"230500 GUARACIABA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;1;1
"230523 HORIZONTE";-;4;3;2;2;5;6;5;2;1;2;-;32
"230530 IBIAPINA";-;-;-;-;-;1;-;-;-;-;-;-;1
"230600 IRACEMA";-;1;-;-;-;-;-;-;-;-;-;-;1
"230620 ITAICABA";-;-;-;-;-;2;-;4;-;-;-;-;6
"230680 JAGUARIBARA";-;-;1;-;-;-;-;-;-;-;-;1;2
"230690 JAGUARIBE";-;-;-;-;-;-;-;1;-;-;-;-;1
"230730 JUAZEIRO DO NORTE";1;1;1;3;1;1;1;1;2;4;2;3;21
"230760 LIMOEIRO DO NORTE";-;-;3;5;1;1;1;1;-;1;-;-;13
"230770 MARANGUAPE";1;1;-;-;-;-;-;-;-;1;-;-;3
"230790 MARTINOPOLE";-;-;-;-;-;-;-;-;-;-;2;-;2
"230810 MAURITI";-;-;-;-;-;-;-;-;3;-;-;1;4
"230830 MILAGRES";-;-;-;-;1;-;-;-;-;-;-;-;1
"230945 OCARA";-;-;-;-;-;-;-;-;1;-;-;-;1
"230970 PACATUBA";-;1;-;-;-;-;-;-;-;-;-;-;1
"231020 PARACURU";-;-;-;1;-;-;-;-;-;-;-;-;1
"231085 PINDORETAMA";-;-;-;-;-;1;-;-;-;-;-;-;1
"231140 QUIXERAMOBIM";11;10;6;14;20;10;10;13;4;9;7;5;119
"231180 RUSSAS";-;-;-;1;-;-;-;-;-;-;-;-;1
"231220 SANTA QUITERIA";-;-;-;-;-;-;-;-;-;-;-;1;1
"231240 SAO GONCALO DO AMARANTE";-;1;-;-;-;-;-;-;-;-;-;-;1
"231250 SAO JOAO DO JAGUARIBE";-;1;-;-;-;-;-;-;-;-;-;-;1
"231270 SENADOR POMPEU";-;-;-;-;-;-;-;-;-;-;1;-;1
"231290 SOBRAL";9;11;8;8;5;4;5;7;8;12;5;9;91
"231310 TABULEIRO DO NORTE";-;-;-;-;-;-;-;-;-;-;1;-;1
"231340 TIANGUA";4;4;3;4;2;1;-;-;4;2;1;-;25
"231360 UBAJARA";-;-;-;-;-;-;-;-;1;-;-;-;1
"231395 VARJOTA";-;-;-;-;-;-;-;-;-;-;-;1;1
"231400 VARZEA ALEGRE";1;-;-;-;-;-;-;-;-;1;-;-;2
"240200 CAICO";-;-;-;-;-;-;-;1;1;5;2;-;9
"240260 CEARA-MIRIM";-;-;-;-;-;-;-;-;1;-;-;-;1
"240325 PARNAMIRIM";2;3;3;3;6;5;6;5;6;2;2;7;50
"240360 EXTREMOZ";2;2;1;1;1;1;-;4;-;1;-;2;15
"240380 FLORANIA";-;-;-;-;-;-;-;-;-;-;1;-;1
"240490 ITAU";-;-;-;1;-;-;-;-;-;-;-;-;1
"240570 JARDIM DO SERIDO";-;-;-;-;-;-;-;-;-;-;1;-;1
"240710 MACAIBA";1;-;-;-;-;-;-;-;-;1;-;-;2
"240720 MACAU";-;-;-;-;-;-;-;-;1;-;-;-;1
"240800 MOSSORO";-;1;-;-;-;1;-;1;1;2;-;-;6
"240810 NATAL";24;23;32;35;50;32;54;42;31;20;12;56;411
"240820 NISIA FLORESTA";-;-;1;-;-;-;-;1;-;-;-;-;2
"240880 PARAZINHO";1;-;-;-;-;-;-;-;-;-;-;-;1
"240890 PARELHAS";-;-;-;-;2;1;-;-;-;-;-;-;3
"240920 PASSAGEM";-;-;1;-;-;-;-;-;-;-;-;-;1
"241200 SAO GONCALO DO AMARANTE";4;1;3;2;6;3;5;5;2;1;-;3;35
"241440 TOUROS";-;-;-;-;-;-;-;-;-;-;1;-;1
"250040 ALAGOA NOVA";-;-;-;-;-;-;-;2;-;-;-;-;2
"250053 ALCANTIL";-;-;-;-;-;-;3;-;-;3;-;-;6
"250060 ALHANDRA";-;-;-;-;-;-;-;7;-;-;-;-;7
"250110 AREIA";-;-;-;-;-;-;1;-;-;-;-;-;1
"250135 ASSUNCAO";-;-;-;-;1;-;-;-;-;-;-;-;1
"250157 BARRA DE SANTANA";-;-;-;-;-;-;-;-;-;-;-;1;1
"250180 BAYEUX";1;1;2;1;-;-;-;-;-;1;1;-;7
"250300 CAAPORA";-;-;-;-;1;-;-;-;-;-;-;-;1
"250320 CABEDELO";11;11;13;12;6;5;8;5;5;8;5;3;92
"250400 CAMPINA GRANDE";1;2;3;4;16;9;7;5;5;5;9;6;72
"250460 CONDE";-;-;-;-;1;1;-;-;-;-;-;1;3
"250600 ESPERANCA";-;1;-;-;-;-;-;-;1;-;-;-;2
"250680 INGA";-;-;-;-;-;-;-;-;-;-;-;1;1
"250750 JOAO PESSOA";15;24;20;24;17;21;17;21;19;17;13;11;219
"250830 LAGOA SECA";-;-;-;-;-;-;-;-;1;-;-;-;1
"250860 LUCENA";-;-;1;-;2;-;1;-;-;1;-;-;5
"251080 PATOS";-;-;-;1;2;-;1;1;1;1;1;1;9
"251120 PEDRAS DE FOGO";-;-;-;-;-;-;-;1;-;-;-;-;1
"251140 PICUI";-;-;-;-;1;-;-;-;-;-;-;-;1
"251200 POCINHOS";-;-;-;-;-;-;2;1;-;-;-;-;3
"251250 QUEIMADAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"251335 SANTA INES";-;-;-;-;-;-;-;-;-;-;1;-;1
"251340 SANTA LUZIA";-;-;1;-;-;-;-;-;-;-;1;-;2
"251370 SANTA RITA";-;-;1;1;-;1;1;1;3;-;1;2;11
"251398 SAO FRANCISCO";-;-;-;-;-;-;-;-;-;1;-;-;1
"251530 SAPE";-;-;2;-;-;-;1;-;-;-;-;1;4
"251540 SAO VICENTE DO SERIDO";-;-;1;-;-;-;-;-;-;-;-;-;1
"251610 SOLEDADE";-;1;-;-;-;-;-;-;-;-;-;-;1
"251620 SOUSA";-;-;-;-;-;-;-;-;2;-;-;-;2
"251630 SUME";-;-;-;-;-;-;1;-;-;-;-;-;1
"251710 VARZEA";-;-;-;-;1;-;-;-;-;-;-;-;1
"260005 ABREU E LIMA";-;1;-;-;-;1;-;-;1;-;-;-;3
"260040 AGUA PRETA";-;-;-;-;3;-;-;-;-;-;-;1;4
"260130 BARRA DE GUABIRABA";-;-;-;-;-;3;-;-;-;-;-;-;3
"260140 BARREIROS";-;-;-;-;2;-;-;-;-;-;-;1;3
"260260 BREJO DA MADRE DE DEUS";-;-;-;-;-;-;-;1;-;-;-;-;1
"260290 CABO DE SANTO AGOSTINHO";1;1;2;1;1;3;2;-;2;1;-;-;14
"260345 CAMARAGIBE";1;2;1;-;1;-;-;-;2;-;-;-;7
"260350 CAMOCIM DE SAO FELIX";-;-;-;-;-;-;-;-;-;-;5;-;5
"260400 CARPINA";-;-;-;1;-;-;-;-;-;-;-;-;1
"260410 CARUARU";2;-;-;-;-;1;-;1;-;-;-;1;5
"260450 CHA GRANDE";2;-;-;-;-;-;-;-;-;-;-;-;2
"260600 GARANHUNS";-;-;-;1;-;-;-;-;-;-;-;-;1
"260620 GOIANA";-;1;-;-;-;-;-;-;1;-;-;-;2
"260640 GRAVATA";-;-;-;-;-;-;-;-;-;1;-;-;1
"260680 IGARASSU";-;-;1;-;1;-;-;-;-;-;-;-;2
"260720 IPOJUCA";-;-;1;-;-;-;-;-;-;-;1;-;2
"260790 JABOATAO DOS GUARARAPES";5;3;3;2;-;-;1;1;4;2;2;2;25
"260825 JUCATI";-;-;-;1;-;-;-;1;-;-;-;-;2
"260880 LAJEDO";-;-;-;-;-;-;1;-;-;-;-;-;1
"260960 OLINDA";-;1;2;3;2;2;1;2;2;-;2;-;17
"261000 PALMARES";-;-;-;1;-;-;-;-;-;-;-;-;1
"261060 PAUDALHO";-;-;-;-;-;-;-;-;-;-;1;-;1
"261070 PAULISTA";1;-;-;1;1;-;3;-;-;4;2;2;14
"261100 PETROLANDIA";-;-;-;-;-;-;-;1;-;-;-;-;1
"261110 PETROLINA";-;1;1;1;3;1;1;2;3;4;2;-;19
"261160 RECIFE";22;9;20;14;14;11;20;13;17;21;10;16;187
"261255 SANTA FILOMENA";-;-;-;-;-;-;-;1;-;-;-;-;1
"261340 SAO JOSE DA COROA GRANDE";-;-;-;1;-;-;-;-;-;-;-;-;1
"261370 SAO LOURENCO DA MATA";1;-;1;-;-;-;-;-;-;-;-;-;2
"261480 TACARATU";-;-;-;-;-;-;-;-;-;-;1;-;1
"261485 TAMANDARE";-;-;-;5;-;-;-;-;-;-;1;-;6
"270010 AGUA BRANCA";1;-;-;-;-;-;-;-;-;-;-;-;1
"270020 ANADIA";-;-;-;-;2;-;-;-;-;-;-;-;2
"270030 ARAPIRACA";2;4;6;9;7;-;7;5;6;3;13;5;67
"270040 ATALAIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"270050 BARRA DE SANTO ANTONIO";-;-;-;-;-;-;-;-;-;-;-;1;1
"270060 BARRA DE SAO MIGUEL";-;-;-;-;-;1;-;-;-;-;-;-;1
"270100 BOCA DA MATA";-;-;-;1;1;-;-;-;-;-;-;-;2
"270110 BRANQUINHA";-;-;-;-;-;1;-;-;-;-;-;-;1
"270120 CACIMBINHAS";-;-;-;-;-;-;-;-;-;-;1;-;1
"270140 CAMPO ALEGRE";-;-;1;-;-;-;1;-;2;-;-;-;4
"270200 COITE DO NOIA";-;-;-;-;2;-;-;-;-;-;-;-;2
"270230 CORURIPE";-;-;1;-;-;-;1;-;-;-;-;-;2
"270235 CRAIBAS";-;-;-;-;-;-;-;-;1;-;-;-;1
"270240 DELMIRO GOUVEIA";1;-;-;1;-;-;-;-;-;-;-;-;2
"270255 ESTRELA DE ALAGOAS";-;-;-;-;-;1;-;-;-;-;-;-;1
"270280 FLEXEIRAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"270290 GIRAU DO PONCIANO";-;-;-;-;-;-;1;-;-;-;-;-;1
"270300 IBATEGUARA";-;-;-;-;-;-;1;-;-;-;-;-;1
"270375 JEQUIA DA PRAIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"270380 JOAQUIM GOMES";-;-;-;-;-;-;1;-;-;-;-;-;1
"270410 LAGOA DA CANOA";-;1;-;-;1;-;1;-;-;-;-;-;3
"270420 LIMOEIRO DE ANADIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"270430 MACEIO";43;39;29;47;40;30;49;30;36;35;26;24;428
"270440 MAJOR ISIDORO";-;-;-;-;-;-;-;1;-;-;-;-;1
"270450 MARAGOGI";-;1;-;-;1;-;1;-;-;-;-;-;3
"270460 MARAVILHA";-;1;-;-;-;-;-;-;-;-;-;-;1
"270470 MARECHAL DEODORO";2;1;1;-;1;2;1;-;1;-;-;-;9
"270510 MATRIZ DE CAMARAGIBE";-;-;-;-;-;-;1;1;-;-;-;-;2
"270560 NOVO LINO";-;-;-;-;-;1;-;1;-;-;-;-;2
"270570 OLHO D'AGUA DAS FLORES";-;-;-;-;-;-;-;-;-;-;1;-;1
"270600 OLIVENCA";-;-;-;-;-;1;-;-;-;-;-;-;1
"270610 OURO BRANCO";-;-;-;-;-;-;-;-;1;-;-;-;1
"270630 PALMEIRA DOS INDIOS";1;-;1;-;-;-;1;-;1;1;1;1;7
"270640 PAO DE ACUCAR";1;-;-;-;-;-;-;-;1;-;-;-;2
"270644 PARIPUEIRA";-;-;-;-;-;-;-;-;-;1;4;-;5
"270670 PENEDO";-;-;1;-;-;-;-;-;-;1;-;-;2
"270690 PILAR";-;-;-;-;1;2;-;-;-;-;1;-;4
"270710 PIRANHAS";-;-;-;-;-;-;1;-;-;-;-;-;1
"270730 PORTO CALVO";-;-;2;-;-;-;-;-;-;-;-;-;2
"270770 RIO LARGO";1;-;1;1;1;-;-;-;2;-;-;-;6
"270790 SANTA LUZIA DO NORTE";-;1;-;-;-;-;1;-;-;-;-;-;2
"270800 SANTANA DO IPANEMA";-;1;1;-;3;-;7;-;-;-;11;-;23
"270830 SAO JOSE DA LAJE";-;1;-;-;1;-;-;-;1;-;-;-;3
"270850 SAO LUIS DO QUITUNDE";1;-;-;-;1;-;-;-;-;-;-;-;2
"270860 SAO MIGUEL DOS CAMPOS";-;-;1;-;-;-;1;-;-;-;-;-;2
"270880 SAO SEBASTIAO";-;-;-;1;-;-;-;-;-;-;-;-;1
"270890 SATUBA";-;1;-;-;-;1;-;-;-;-;-;-;2
"270915 TEOTONIO VILELA";-;-;-;-;-;-;-;-;1;-;-;-;1
"270920 TRAIPU";-;-;-;-;-;-;-;1;-;-;-;-;1
"270930 UNIAO DOS PALMARES";-;-;1;-;1;-;-;-;-;-;-;-;2
"270940 VICOSA";-;-;-;-;1;-;-;-;-;-;-;-;1
"280030 ARACAJU";2;8;5;6;3;3;7;5;6;5;4;3;57
"280060 BARRA DOS COQUEIROS";-;-;-;-;-;-;-;-;3;-;-;-;3
"280120 CANINDE DE SAO FRANCISCO";-;-;-;-;-;-;1;-;-;-;-;-;1
"280290 ITABAIANA";-;-;-;-;-;-;-;-;-;-;-;1;1
"280350 LAGARTO";-;1;-;-;2;-;1;-;1;-;-;-;5
"280420 MONTE ALEGRE DE SERGIPE";-;-;-;-;-;1;-;-;-;-;-;-;1
"280480 NOSSA SENHORA DO SOCORRO";-;-;-;3;-;-;-;-;-;1;-;-;4
"280580 RIACHAO DO DANTAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"280670 SAO CRISTOVAO";-;-;-;-;-;-;-;-;-;-;1;-;1
"280720 SIRIRI";-;-;-;-;-;-;-;1;-;-;-;-;1
"290060 AIQUARA";-;-;-;-;-;-;-;-;-;-;1;-;1
"290070 ALAGOINHAS";-;-;2;1;2;-;1;-;2;-;-;2;10
"290100 AMARGOSA";-;1;-;-;-;1;-;-;-;-;1;2;5
"290110 AMELIA RODRIGUES";-;-;-;-;-;-;-;-;-;1;-;-;1
"290120 ANAGE";-;-;1;-;-;-;-;-;-;-;-;-;1
"290205 ARACAS";-;-;-;-;-;-;-;-;-;-;-;1;1
"290210 ARACI";-;-;-;-;-;-;-;-;-;1;-;-;1
"290320 BARREIRAS";-;1;3;2;2;-;3;2;1;1;4;1;20
"290327 BARROCAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"290370 BOA NOVA";-;-;-;-;1;-;-;-;-;-;1;-;2
"290390 BOM JESUS DA LAPA";-;-;-;-;1;-;-;-;-;1;1;1;4
"290460 BRUMADO";-;-;-;-;-;-;-;-;1;-;1;-;2
"290470 BUERAREMA";-;-;-;-;1;-;-;-;-;-;-;-;1
"290510 CAEM";-;-;-;-;-;-;1;-;-;-;-;-;1
"290515 CAETANOS";-;-;-;2;-;-;-;-;-;-;-;-;2
"290520 CAETITE";-;7;4;1;3;8;2;-;2;1;2;-;30
"290550 CALDEIRAO GRANDE";-;-;-;-;-;-;-;-;-;-;1;-;1
"290570 CAMACARI";3;3;5;4;1;8;5;8;6;7;2;-;52
"290650 CANDEIAS";1;-;1;-;1;-;-;-;-;-;3;-;6
"290687 CAPIM GROSSO";-;-;1;-;-;-;2;-;1;-;-;-;4
"290750 CATU";-;-;1;-;-;-;-;-;-;-;5;-;6
"290800 COARACI";-;1;-;1;-;-;-;-;-;-;-;-;2
