2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/varicelabr.def
Chickenpox
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"260230 BONITO";-;-;1;-;-;2;-;3
"260260 BREJO DA MADRE DE DEUS";-;-;-;-;-;2;-;2
"260280 BUIQUE";-;1;-;-;-;-;-;1
"260345 CAMARAGIBE";1;-;-;-;-;2;-;3
"260530 EXU";-;-;-;-;1;-;-;1
"260610 GLORIA DO GOITA";-;-;-;-;-;1;-;1
"260640 GRAVATA";-;-;1;2;-;-;-;3
"260680 IGARASSU";3;2;1;1;3;6;4;20
"260720 IPOJUCA";1;2;-;-;-;-;-;3
"260775 ITAPISSUMA";-;-;1;-;-;4;-;5
"260790 JABOATAO DOS GUARARAPES";-;-;-;-;6;5;4;15
"260800 JATAUBA";-;-;-;-;-;1;-;1
"260805 JATOBA";-;-;-;1;-;-;-;1
"260960 OLINDA";-;5;-;2;2;2;-;11
"261060 PAUDALHO";-;-;-;4;2;17;-;23
"261070 PAULISTA";-;1;-;-;-;1;-;2
"261080 PEDRA";-;-;-;1;-;-;-;1
"261110 PETROLINA";-;-;-;2;5;3;-;10
"261140 PRIMAVERA";-;-;-;-;1;-;-;1
"261160 RECIFE";6;3;3;5;3;2;-;22
"261200 SAIRE";-;-;-;-;-;1;1;2
"261250 SANTA CRUZ DO CAPIBARIBE";3;-;1;1;1;18;4;28
"261255 SANTA FILOMENA";-;-;-;1;-;-;-;1
"261270 SANTA MARIA DO CAMBUCA";-;1;-;-;-;-;-;1
"261300 SAO BENTO DO UNA";-;-;-;1;-;-;-;1
"261320 SAO JOAO";-;-;-;-;-;1;-;1
"261350 SAO JOSE DO BELMONTE";-;-;-;-;-;1;-;1
"261370 SAO LOURENCO DA MATA";-;1;-;-;-;-;-;1
"261400 SERRITA";-;-;-;-;-;3;-;3
"261430 MOREILANDIA";-;-;1;-;-;-;-;1
"261500 TAQUARITINGA DO NORTE";-;1;2;-;-;3;-;6
"261550 TRACUNHAEM";-;-;-;1;-;-;-;1
"270050 BARRA DE SANTO ANTONIO";-;-;-;1;-;-;-;1
"270430 MACEIO";-;1;-;-;-;1;-;2
"270630 PALMEIRA DOS INDIOS";-;-;-;-;-;1;-;1
"270770 RIO LARGO";-;-;-;1;-;-;-;1
"270790 SANTA LUZIA DO NORTE";-;-;-;-;3;1;-;4
"270830 SAO JOSE DA LAJE";-;-;1;-;-;-;-;1
"280030 ARACAJU";-;-;1;-;-;-;-;1
"280040 ARAUA";-;-;1;1;-;-;-;2
"280120 CANINDE DE SAO FRANCISCO";-;-;-;-;-;1;-;1
"280230 FREI PAULO";1;-;-;-;-;-;-;1
"280480 NOSSA SENHORA DO SOCORRO";-;1;-;-;-;1;-;2
"280630 SANTA LUZIA DO ITANHY";1;-;-;-;-;-;-;1
