2010
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/acgrbr.def
Work Accident
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"220810 PIMENTEIRAS";3;1;5;1;2;-;3;2;4;3;3;-;27
"220820 PIO IX";3;2;2;1;1;2;1;2;2;2;2;2;22
"220830 PIRACURUCA";5;2;2;4;8;3;5;3;4;8;1;3;48
"220840 PIRIPIRI";14;19;18;18;17;19;23;28;22;20;15;11;224
"220850 PORTO";1;-;-;-;2;-;-;1;2;3;3;1;13
"220855 PORTO ALEGRE DO PIAUI";1;-;1;-;-;1;1;2;1;2;1;1;11
"220860 PRATA DO PIAUI";-;1;-;2;-;2;1;2;1;1;1;1;12
"220865 QUEIMADA NOVA";4;2;1;3;3;2;3;3;5;2;7;1;36
"220870 REDENCAO DO GURGUEIA";2;2;4;1;4;2;1;3;1;4;6;1;31
"220880 REGENERACAO";7;3;3;3;-;1;4;1;4;6;3;1;36
"220885 RIACHO FRIO";-;-;-;-;1;1;-;-;-;-;1;-;3
"220887 RIBEIRA DO PIAUI";1;-;-;1;1;-;-;2;1;1;4;1;12
"220890 RIBEIRO GONCALVES";1;-;-;-;-;2;-;2;2;2;-;2;11
"220900 RIO GRANDE DO PIAUI";2;2;3;1;2;3;2;2;-;2;2;-;21
