2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Total"
"130270 MANICORE";1;1;2;2;3;2;4;7;9;18;8;5;62
"130280 MARAA";-;1;2;2;7;7;5;7;9;4;3;-;47
"130290 MAUES";53;51;18;16;6;2;1;1;2;1;-;-;151
"130300 NHAMUNDA";-;-;-;-;-;1;8;-;-;-;-;-;9
"130320 NOVO AIRAO";2;6;10;8;29;27;19;13;8;14;4;-;140
"130330 NOVO ARIPUANA";-;-;-;1;1;16;13;9;15;8;1;1;65
"130340 PARINTINS";-;7;35;35;12;1;-;-;-;-;-;-;90
"130350 PAUINI";5;4;6;8;8;-;1;-;-;-;-;-;32
"130353 PRESIDENTE FIGUEIREDO";-;-;4;1;1;2;3;-;4;7;15;2;39
"130356 RIO PRETO DA EVA";4;6;21;9;2;-;3;-;-;-;-;-;45
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;-;-;-;-;2;1;1;-;-;4
"130370 SANTO ANTONIO DO ICA";-;2;-;4;3;5;1;7;25;6;11;-;64
"130380 SAO GABRIEL DA CACHOEIRA";2;-;5;4;12;11;8;17;8;1;-;-;68
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;-;1;-;-;1;1;-;-;3
"130395 SAO SEBASTIAO DO UATUMA";1;1;3;6;2;-;1;-;-;1;-;-;15
"130400 SILVES";-;-;1;-;-;-;-;1;-;-;-;-;2
"130406 TABATINGA";1;1;3;-;1;1;5;4;27;17;3;-;63
"130410 TAPAUA";-;2;2;3;2;7;5;24;21;17;3;-;86
"130420 TEFE";21;18;27;21;35;31;23;26;24;65;84;15;390
"130423 TONANTINS";1;1;7;12;43;45;70;126;169;128;21;4;627
"130426 UARINI";-;-;-;1;-;-;1;-;-;-;-;-;2
"130430 URUCARA";-;-;-;1;7;5;-;-;-;-;-;-;13
"130440 URUCURITUBA";-;-;-;-;4;2;-;-;-;-;-;-;6
"140002 AMAJARI";-;-;-;-;-;-;-;-;-;1;1;-;2
"140010 BOA VISTA";2;4;-;7;18;18;37;35;27;27;33;11;219
"140017 CANTA";-;1;-;-;-;-;1;2;-;-;-;4;8
"140020 CARACARAI";-;-;2;3;2;-;-;-;3;2;-;-;12
"140040 NORMANDIA";-;-;-;3;1;1;7;7;2;4;4;-;29
"140045 PACARAIMA";-;1;3;-;-;2;3;4;2;1;1;-;17
"140047 RORAINOPOLIS";-;-;1;1;1;-;1;-;2;-;8;6;20
