2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/meninbr.def
Meningitis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Total"
"351190 CLEMENTINA";-;1;-;-;-;1
"351280 COSMOPOLIS";-;1;-;-;-;1
"351300 COTIA";3;1;3;3;-;10
"351310 CRAVINHOS";1;3;-;-;-;4
"351340 CRUZEIRO";-;-;1;-;-;1
"351380 DIADEMA";1;2;9;8;2;22
"351390 DIVINOLANDIA";-;-;-;1;-;1
"351450 DUARTINA";-;-;1;-;1;2
"351490 ELIAS FAUSTO";-;1;-;-;-;1
"351500 EMBU DAS ARTES";4;2;1;-;2;9
"351510 EMBU-GUACU";-;1;1;-;-;2
"351515 ENGENHEIRO COELHO";-;1;-;-;-;1
"351518 ESPIRITO SANTO DO PINHAL";1;-;-;-;-;1
"351520 ESTRELA D'OESTE";-;-;1;-;-;1
"351550 FERNANDOPOLIS";3;1;1;-;-;5
"351570 FERRAZ DE VASCONCELOS";-;1;1;2;-;4
"351620 FRANCA";2;1;1;1;-;5
"351630 FRANCISCO MORATO";2;-;-;2;-;4
"351640 FRANCO DA ROCHA";-;1;1;-;-;2
"351690 GENERAL SALGADO";-;-;1;-;-;1
"351750 GUAPIACU";-;2;1;-;-;3
"351810 GUARANTA";-;1;-;-;-;1
"351820 GUARARAPES";-;-;1;-;-;1
"351830 GUARAREMA";-;-;1;-;-;1
"351840 GUARATINGUETA";1;-;-;-;-;1
"351870 GUARUJA";1;2;2;1;-;6
"351880 GUARULHOS";15;12;18;9;10;64
"351890 GUZOLANDIA";-;-;-;1;-;1
"351900 HERCULANDIA";1;-;-;-;-;1
"351907 HORTOLANDIA";4;-;-;1;-;5
"351940 IBIRA";-;-;2;-;-;2
"352010 IGARAPAVA";1;-;-;-;-;1
"352050 INDAIATUBA";2;3;1;-;-;6
"352080 INUBIA PAULISTA";-;-;1;-;-;1
"352220 ITAPECERICA DA SERRA";1;2;3;2;-;8
"352230 ITAPETININGA";-;3;-;-;-;3
"352250 ITAPEVI";2;2;3;7;-;14
"352270 ITAPOLIS";-;-;1;2;-;3
"352310 ITAQUAQUECETUBA";1;2;1;1;-;5
"352330 ITARIRI";1;-;-;-;-;1
"352340 ITATIBA";-;-;1;-;-;1
"352350 ITATINGA";-;-;-;1;-;1
"352390 ITU";-;2;-;-;-;2
"352400 ITUPEVA";-;-;1;-;-;1
"352440 JACAREI";4;2;-;1;1;8
"352470 JAGUARIUNA";-;1;1;-;-;2
"352480 JALES";1;-;1;-;-;2
"352500 JANDIRA";1;-;2;1;-;4
"352510 JARDINOPOLIS";1;-;1;-;-;2
"352530 JAU";1;1;-;-;-;2
"352570 JOSE BONIFACIO";1;-;-;-;-;1
"352590 JUNDIAI";3;2;1;2;-;8
"352620 JUQUITIBA";1;1;2;-;-;4
"352670 LEME";1;1;3;1;-;6
"352680 LENCOIS PAULISTA";-;1;-;1;-;2
"352690 LIMEIRA";-;1;1;-;-;2
"352710 LINS";-;-;-;1;-;1
"352725 LOURDES";1;-;-;-;-;1
"352730 LOUVEIRA";-;-;1;1;-;2
"352760 LUIS ANTONIO";-;-;1;-;-;1
"352820 MACEDONIA";1;-;-;-;-;1
"352850 MAIRIPORA";1;-;3;-;-;4
"352880 MARACAI";-;-;1;-;-;1
"352900 MARILIA";4;4;3;-;-;11
"352930 MATAO";-;-;-;-;1;1
"352940 MAUA";1;7;4;3;1;16
"352965 MESOPOLIS";-;-;-;1;-;1
"352990 MIRACATU";1;-;-;-;-;1
