2023
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Total"
"330620 VASSOURAS";1;-;2;-;2;2;-;7
"330630 VOLTA REDONDA";56;30;36;12;42;17;12;205
"350010 ADAMANTINA";2;2;-;2;3;-;-;9
"350020 ADOLFO";-;1;-;-;-;-;-;1
"350030 AGUAI";5;2;1;1;2;1;-;12
"350040 AGUAS DA PRATA";-;1;1;-;-;-;-;2
"350050 AGUAS DE LINDOIA";-;2;-;1;-;-;-;3
"350070 AGUDOS";2;1;1;-;-;-;-;4
"350100 ALTINOPOLIS";1;2;-;1;-;-;-;4
"350130 ALVARES MACHADO";2;1;3;2;1;3;-;12
"350140 ALVARO DE CARVALHO";-;-;2;-;2;2;-;6
"350150 ALVINLANDIA";3;-;-;-;1;-;-;4
"350160 AMERICANA";19;15;11;15;21;9;-;90
"350170 AMERICO BRASILIENSE";1;-;3;3;1;-;-;8
"350180 AMERICO DE CAMPOS";-;1;-;-;-;-;-;1
"350190 AMPARO";2;2;4;3;7;3;-;21
"350210 ANDRADINA";6;-;5;6;11;4;1;33
"350220 ANGATUBA";-;-;2;1;-;-;-;3
"350230 ANHEMBI";2;1;1;1;-;-;-;5
"350240 ANHUMAS";1;-;-;-;-;-;-;1
"350250 APARECIDA";-;3;5;1;2;6;-;17
"350270 APIAI";1;-;1;1;-;-;-;3
"350275 ARACARIGUAMA";1;2;-;1;2;2;-;8
"350280 ARACATUBA";18;15;10;4;3;2;-;52
"350290 ARACOIABA DA SERRA";-;2;3;1;-;-;-;6
"350310 ARANDU";-;-;1;-;-;-;-;1
"350320 ARARAQUARA";24;30;15;14;18;19;1;121
"350330 ARARAS";8;2;5;2;8;4;1;30
"350340 AREALVA";-;2;1;-;-;-;-;3
"350360 AREIOPOLIS";-;-;2;-;-;1;-;3
"350370 ARIRANHA";-;-;-;1;-;-;-;1
"350380 ARTUR NOGUEIRA";-;1;1;2;-;-;-;4
"350390 ARUJA";3;1;4;1;3;1;-;13
"350395 ASPASIA";-;1;-;1;-;1;-;3
"350400 ASSIS";-;5;7;1;-;-;-;13
"350410 ATIBAIA";5;6;2;1;5;5;-;24
"350420 AURIFLAMA";2;2;1;1;1;1;-;8
"350450 AVARE";3;8;13;6;8;-;-;38
"350460 BADY BASSITT";2;1;3;3;5;2;-;16
"350470 BALBINOS";3;-;-;-;1;-;-;4
"350480 BALSAMO";-;-;1;-;2;1;-;4
"350490 BANANAL";-;-;-;1;1;-;-;2
"350500 BARAO DE ANTONINA";-;-;-;-;-;1;-;1
"350520 BARIRI";-;1;1;1;1;-;-;4
"350530 BARRA BONITA";-;1;1;1;2;-;-;5
"350535 BARRA DO CHAPEU";-;-;-;1;-;-;-;1
"350550 BARRETOS";21;26;24;25;33;22;-;151
"350560 BARRINHA";5;-;3;-;4;1;1;14
"350570 BARUERI";11;28;55;30;49;47;19;239
"350580 BASTOS";2;-;-;-;-;-;-;2
"350590 BATATAIS";-;1;4;4;4;3;-;16
"350600 BAURU";58;65;53;25;44;22;-;267
"350610 BEBEDOURO";1;1;-;2;-;1;-;5
"350630 BERNARDINO DE CAMPOS";2;-;1;1;-;-;-;4
"350635 BERTIOGA";4;5;14;5;2;9;2;41
"350650 BIRIGUI";3;7;16;5;5;5;-;41
"350660 BIRITIBA-MIRIM";-;1;3;2;1;-;-;7
"350670 BOA ESPERANCA DO SUL";-;1;-;-;-;-;-;1
"350690 BOFETE";3;-;-;-;-;1;-;4
"350700 BOITUVA";7;2;3;3;5;3;-;23
"350710 BOM JESUS DOS PERDOES";-;1;-;-;-;-;-;1
"350730 BORACEIA";-;-;1;-;-;-;-;1
"350740 BORBOREMA";1;-;1;-;-;-;-;2
"350750 BOTUCATU";7;21;27;8;16;15;5;99
"350760 BRAGANCA PAULISTA";19;6;16;11;7;3;1;63
"350770 BRAUNA";1;-;-;-;-;-;-;1
"350780 BRODOWSKI";4;1;-;-;1;1;-;7
"350790 BROTAS";-;-;-;-;1;-;-;1
"350800 BURI";2;-;2;-;1;-;-;5
"350810 BURITAMA";-;-;-;-;3;1;-;4
"350830 CABRALIA PAULISTA";-;-;-;2;-;-;-;2
"350840 CABREUVA";-;2;-;1;1;-;-;4
"350850 CACAPAVA";2;-;6;3;5;1;3;20
"350860 CACHOEIRA PAULISTA";-;-;4;2;-;1;-;7
"350900 CAIEIRAS";4;12;7;2;3;3;1;32
"350910 CAIUA";-;-;-;1;-;-;-;1
"350920 CAJAMAR";10;1;1;2;3;3;-;20
"350925 CAJATI";-;1;-;1;2;2;-;6
"350930 CAJOBI";2;-;-;1;-;-;-;3
"350940 CAJURU";-;1;3;-;2;2;-;8
"350950 CAMPINAS";158;104;169;161;90;89;2;773
"350960 CAMPO LIMPO PAULISTA";3;4;5;1;2;2;-;17
"350970 CAMPOS DO JORDAO";3;2;4;2;4;5;1;21
"350980 CAMPOS NOVOS PAULISTA";-;-;-;3;-;-;-;3
"350990 CANANEIA";-;-;-;-;-;1;-;1
