2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def
Acquired Syphilis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130406 TABATINGA";8;6;14;3;7;7;7;7;-;6;5;1;71
"130410 TAPAUA";-;6;4;-;1;-;-;-;1;-;-;-;12
"130420 TEFE";2;5;14;5;9;4;3;2;2;2;1;2;51
"130423 TONANTINS";1;2;1;1;-;-;1;-;-;1;-;-;7
"130426 UARINI";1;2;1;1;3;1;-;-;-;-;-;-;9
"130430 URUCARA";1;-;2;2;2;-;-;-;1;-;-;1;9
"130440 URUCURITUBA";2;2;1;6;1;-;4;2;3;2;1;3;27
"140002 AMAJARI";1;1;-;-;-;-;-;-;-;-;-;-;2
"140005 ALTO ALEGRE";2;-;-;1;-;-;-;2;2;1;-;1;9
"140010 BOA VISTA";103;77;103;100;110;87;62;69;50;55;58;57;931
"140015 BONFIM";-;1;2;-;2;-;2;1;-;-;2;2;12
"140017 CANTA";1;3;3;1;3;-;-;3;2;1;-;2;19
"140020 CARACARAI";6;3;5;4;3;1;5;2;2;-;2;2;35
"140023 CAROEBE";-;-;-;1;3;1;1;-;1;-;-;-;7
"140028 IRACEMA";2;-;6;-;3;-;3;-;5;1;-;-;20
"140030 MUCAJAI";10;10;5;5;6;6;3;6;3;1;2;2;59
"140040 NORMANDIA";-;-;3;-;-;2;-;-;-;1;-;-;6
"140045 PACARAIMA";10;7;5;7;6;10;1;5;5;9;3;4;72
"140047 RORAINOPOLIS";3;3;6;4;8;4;7;-;2;3;6;1;47
"140050 SAO JOAO DA BALIZA";1;-;-;-;-;2;-;-;1;-;2;3;9
"140060 SAO LUIZ";1;2;3;2;2;1;3;2;-;-;3;-;19
"140070 UIRAMUTA";-;-;-;-;1;-;2;-;2;-;-;1;6
" MUNICIPIO IGNORADO - PA";-;-;-;-;-;1;-;-;-;-;-;-;1
"150010 ABAETETUBA";13;13;19;17;21;24;6;11;7;12;5;4;152
"150013 ABEL FIGUEIREDO";-;2;-;-;1;-;-;-;-;-;-;-;3
"150020 ACARA";-;3;-;2;3;7;-;-;1;2;-;-;18
"150030 AFUA";3;2;2;3;1;1;-;-;5;2;4;-;23
"150034 AGUA AZUL DO NORTE";-;3;-;2;-;-;-;-;1;-;-;-;6
"150040 ALENQUER";1;-;1;2;1;1;4;2;6;1;-;1;20
"150050 ALMEIRIM";1;-;-;-;-;-;1;-;1;-;-;-;3
"150060 ALTAMIRA";18;6;11;23;5;21;8;1;5;5;7;9;119
"150070 ANAJAS";7;3;4;4;5;2;5;5;2;1;5;4;47
"150080 ANANINDEUA";100;67;51;21;37;22;24;53;37;26;34;35;507
"150085 ANAPU";-;-;-;-;4;1;-;2;1;-;-;-;8
"150090 AUGUSTO CORREA";-;-;1;2;1;-;-;-;1;-;-;-;5
"150095 AURORA DO PARA";2;1;3;2;1;1;3;-;-;1;-;-;14
"150100 AVEIRO";1;-;1;3;1;1;2;-;-;-;-;-;9
"150110 BAGRE";1;3;2;1;1;3;1;1;-;1;2;-;16
"150120 BAIAO";6;-;8;3;5;4;-;3;-;1;2;-;32
"150125 BANNACH";2;1;1;1;-;1;1;-;-;-;-;-;7
"150130 BARCARENA";8;4;15;7;9;13;7;3;1;2;-;3;72
"150140 BELEM";116;113;146;135;106;62;50;70;39;49;31;45;962
"150145 BELTERRA";-;-;1;-;-;3;-;-;1;-;1;-;6
"150150 BENEVIDES";9;8;14;17;7;10;5;4;7;5;3;10;99
"150157 BOM JESUS DO TOCANTINS";-;-;-;-;-;-;-;-;-;1;-;-;1
"150160 BONITO";-;-;-;1;-;-;-;1;-;-;-;-;2
"150170 BRAGANCA";16;8;11;11;19;15;14;7;13;16;7;4;141
"150172 BRASIL NOVO";2;1;1;4;3;5;1;1;-;-;-;-;18
"150178 BREU BRANCO";3;-;8;4;4;2;5;-;3;-;-;-;29
"150180 BREVES";2;2;2;6;9;10;2;1;1;4;-;-;39
"150190 BUJARU";5;-;5;1;4;8;2;-;-;1;-;1;27
"150195 CACHOEIRA DO PIRIA";-;1;5;-;3;1;2;-;-;1;-;-;13
"150200 CACHOEIRA DO ARARI";-;1;-;1;-;-;-;-;-;-;1;-;3
"150210 CAMETA";8;12;11;6;15;6;2;13;7;5;18;11;114
"150215 CANAA DOS CARAJAS";4;3;2;4;13;5;4;-;2;-;3;2;42
"150220 CAPANEMA";17;12;11;13;19;10;4;6;7;10;6;5;120
"150230 CAPITAO POCO";9;3;9;11;14;1;1;3;5;-;2;2;60
"150240 CASTANHAL";45;16;25;17;4;1;-;-;-;-;-;-;108
"150250 CHAVES";-;1;2;1;1;1;-;-;-;-;-;-;6
"150260 COLARES";-;-;-;-;1;-;-;-;-;1;1;-;3
"150270 CONCEICAO DO ARAGUAIA";1;1;2;-;1;2;-;-;-;-;-;-;7
"150275 CONCORDIA DO PARA";1;-;2;-;2;-;-;-;2;-;-;-;7
"150276 CUMARU DO NORTE";-;-;2;-;2;-;-;-;-;-;-;-;4
"150277 CURIONOPOLIS";1;-;5;1;4;2;2;1;-;-;-;-;16
"150280 CURRALINHO";2;1;-;-;1;1;-;2;1;2;-;2;12
"150285 CURUA";-;-;3;-;2;1;1;3;-;-;1;-;11
"150290 CURUCA";4;4;10;-;3;-;-;-;-;-;-;-;21
"150293 DOM ELISEU";-;7;-;-;-;-;4;4;4;1;-;-;20
"150295 ELDORADO DOS CARAJAS";4;11;9;3;1;2;2;5;1;4;5;2;49
"150300 FARO";-;1;5;2;2;-;-;-;-;1;-;1;12
"150304 FLORESTA DO ARAGUAIA";1;2;1;-;2;-;-;2;3;6;1;2;20
"150307 GARRAFAO DO NORTE";3;1;1;2;5;2;-;3;-;1;-;-;18
"150309 GOIANESIA DO PARA";1;-;1;-;2;6;3;-;8;2;1;-;24
"150320 IGARAPE-ACU";-;-;3;-;4;2;1;1;1;-;-;-;12
"150330 IGARAPE-MIRI";4;4;9;8;7;-;11;9;5;5;5;8;75
"150340 INHANGAPI";-;-;-;-;-;-;-;-;-;-;1;-;1
"150345 IPIXUNA DO PARA";6;9;6;5;6;4;5;10;1;5;7;2;66
"150350 IRITUIA";2;3;1;1;2;-;-;-;1;2;1;3;16
"150360 ITAITUBA";11;8;9;9;19;2;-;-;1;15;12;33;119
"150370 ITUPIRANGA";-;4;5;4;-;1;-;-;1;-;-;1;16
"150375 JACAREACANGA";1;1;-;7;-;4;-;-;1;1;2;2;19
"150380 JACUNDA";8;3;4;2;7;9;6;-;-;4;1;4;48
"150390 JURUTI";6;10;7;5;9;7;2;11;6;-;5;2;70
"150400 LIMOEIRO DO AJURU";-;-;8;6;14;4;-;1;1;-;-;-;34
"150405 MAE DO RIO";-;-;-;1;1;-;-;-;2;4;1;3;12
