2015
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def
Syphilis in Pregnant Women
"Município de residência";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130190 ITACOATIARA";-;15;13;22;13;18;16;11;14;14;10;7;15;168
"130195 ITAMARATI";-;-;-;4;-;-;-;-;3;-;-;-;1;8
"130200 ITAPIRANGA";-;1;2;-;3;1;1;1;-;2;1;1;1;14
"130210 JAPURA";-;-;-;1;2;2;1;3;-;5;-;1;2;17
"130220 JURUA";-;2;-;-;1;-;-;1;1;-;-;-;-;5
"130230 JUTAI";-;1;1;4;4;-;2;4;6;2;2;5;2;33
"130240 LABREA";-;6;8;10;7;7;9;14;5;12;9;6;10;103
"130250 MANACAPURU";-;12;13;20;11;23;25;17;22;13;11;6;17;190
"130255 MANAQUIRI";-;1;2;4;3;-;2;3;-;3;2;3;4;27
"130260 MANAUS";-;879;906;1037;878;1066;963;888;866;789;810;770;836;10688
"130270 MANICORE";-;7;12;19;8;16;11;9;13;5;7;8;11;126
"130280 MARAA";-;2;1;1;4;7;4;3;5;-;2;5;1;35
"130290 MAUES";-;8;2;6;9;8;4;5;6;5;5;6;2;66
"130300 NHAMUNDA";-;-;2;2;1;2;1;1;-;1;-;-;2;12
"130310 NOVA OLINDA DO NORTE";-;9;5;14;16;8;2;6;3;6;9;5;7;90
"130320 NOVO AIRAO";-;3;4;5;3;2;4;5;5;1;1;1;-;34
"130330 NOVO ARIPUANA";-;9;7;1;2;1;5;3;3;4;3;1;1;40
"130340 PARINTINS";-;25;21;29;20;16;17;20;23;20;26;13;17;247
"130350 PAUINI";-;5;5;4;5;9;1;8;6;1;7;3;8;62
"130353 PRESIDENTE FIGUEIREDO";-;6;6;3;5;2;9;3;3;7;5;4;4;57
"130356 RIO PRETO DA EVA";-;5;8;5;4;8;4;8;4;5;5;4;4;64
"130360 SANTA ISABEL DO RIO NEGRO";-;3;2;3;4;3;3;1;-;2;1;-;1;23
"130370 SANTO ANTONIO DO ICA";-;2;5;5;3;2;4;2;2;1;2;3;1;32
"130380 SAO GABRIEL DA CACHOEIRA";-;2;5;4;2;4;3;5;4;2;4;3;2;40
"130390 SAO PAULO DE OLIVENCA";-;5;6;3;3;4;3;6;3;6;1;3;1;44
"130395 SAO SEBASTIAO DO UATUMA";-;2;-;-;-;4;-;1;-;3;4;-;1;15
"130400 SILVES";-;-;-;2;1;1;2;2;-;1;-;1;-;10
"130406 TABATINGA";-;16;17;10;15;18;22;16;18;13;22;21;11;199
"130410 TAPAUA";-;2;1;1;-;4;3;1;-;1;-;-;1;14
"130420 TEFE";-;15;22;17;15;24;14;16;13;9;6;9;9;169
"130423 TONANTINS";-;3;-;2;-;-;-;-;-;1;1;-;-;7
"130426 UARINI";-;1;-;2;-;1;1;1;1;1;3;2;1;14
"130430 URUCARA";-;1;2;1;-;1;1;2;1;-;3;2;-;14
"130440 URUCURITUBA";-;4;-;2;3;3;2;2;5;3;4;2;2;32
"140002 AMAJARI";-;4;3;1;1;2;-;2;-;1;1;1;-;16
"140005 ALTO ALEGRE";-;5;3;2;1;-;4;4;5;2;3;-;4;33
"140010 BOA VISTA";-;147;129;176;129;135;118;144;130;125;122;126;112;1593
"140015 BONFIM";-;3;4;4;4;1;4;-;3;1;1;1;-;26
"140017 CANTA";-;4;5;12;4;4;3;4;4;1;4;5;1;51
"140020 CARACARAI";-;14;10;14;9;7;8;12;7;4;10;1;8;104
"140023 CAROEBE";-;2;4;2;4;2;1;4;-;4;-;-;-;23
"140028 IRACEMA";-;3;2;1;1;2;2;-;-;1;1;1;-;14
"140030 MUCAJAI";-;3;-;5;4;7;7;7;7;6;7;7;5;65
"140040 NORMANDIA";-;1;4;3;3;-;-;2;2;-;3;2;-;20
"140045 PACARAIMA";-;13;6;8;11;9;12;9;13;5;10;4;13;113
"140047 RORAINOPOLIS";-;10;6;16;11;14;11;2;6;5;5;5;7;98
"140050 SAO JOAO DA BALIZA";-;1;2;2;1;1;-;-;-;2;-;2;-;11
"140060 SAO LUIZ";-;1;2;-;4;1;2;-;2;3;3;1;1;20
"140070 UIRAMUTA";-;-;-;3;-;2;-;-;-;2;4;1;-;12
"150010 ABAETETUBA";-;10;13;13;12;12;21;14;9;10;13;17;16;160
"150013 ABEL FIGUEIREDO";-;-;3;4;-;1;-;1;-;1;-;-;-;10
"150020 ACARA";-;15;16;6;10;8;15;2;9;10;5;6;7;109
"150030 AFUA";-;3;14;11;9;5;14;11;10;16;10;8;7;118
"150034 AGUA AZUL DO NORTE";-;-;4;6;1;1;3;-;2;2;-;-;1;20
"150040 ALENQUER";-;6;9;16;6;10;5;11;5;8;7;9;3;95
"150050 ALMEIRIM";-;2;-;1;1;1;1;4;3;2;1;-;1;17
"150060 ALTAMIRA";-;30;29;34;29;23;22;29;30;35;36;32;19;348
"150070 ANAJAS";-;6;6;10;9;4;11;13;4;4;8;4;6;85
"150080 ANANINDEUA";-;112;107;103;83;104;92;81;81;100;83;81;88;1115
"150085 ANAPU";-;12;9;15;15;12;10;6;4;16;7;15;5;126
"150090 AUGUSTO CORREA";-;12;7;4;12;7;13;9;6;12;10;9;4;105
"150095 AURORA DO PARA";-;3;4;5;7;7;1;5;3;4;5;5;-;49
"150100 AVEIRO";-;3;-;1;1;1;2;2;-;4;-;1;-;15
"150110 BAGRE";-;3;4;2;6;9;2;4;2;2;4;3;3;44
"150120 BAIAO";-;9;9;6;4;7;9;5;2;5;3;3;3;65
"150125 BANNACH";-;1;2;-;1;-;1;1;-;-;-;-;-;6
"150130 BARCARENA";-;26;28;34;34;37;29;19;19;18;26;20;17;307
"150140 BELEM";-;291;270;296;294;310;240;204;234;205;213;216;222;2995
"150145 BELTERRA";-;4;1;4;1;1;2;2;-;5;-;1;-;21
"150150 BENEVIDES";-;16;17;22;21;21;17;10;21;14;10;14;11;194
"150157 BOM JESUS DO TOCANTINS";-;-;-;4;6;3;2;1;3;2;-;3;1;25
"150160 BONITO";-;-;1;-;1;1;2;1;-;-;2;1;-;9
"150170 BRAGANCA";-;20;14;12;10;17;17;17;25;7;14;12;10;175
"150172 BRASIL NOVO";-;6;6;2;5;6;1;5;6;3;-;1;2;43
"150175 BREJO GRANDE DO ARAGUAIA";-;1;2;1;3;4;1;1;-;2;1;2;-;18
"150178 BREU BRANCO";-;8;6;9;8;8;7;6;5;7;6;4;4;78
"150180 BREVES";-;25;27;34;28;33;23;30;36;18;19;32;20;325
"150190 BUJARU";-;4;2;5;7;3;5;5;2;3;8;3;3;50
"150195 CACHOEIRA DO PIRIA";-;5;1;1;1;2;3;4;4;-;2;3;-;26
"150200 CACHOEIRA DO ARARI";-;3;-;2;2;1;1;4;1;1;2;1;2;20
"150210 CAMETA";-;27;29;32;28;26;26;20;23;19;20;19;18;287
"150215 CANAA DOS CARAJAS";-;17;17;16;20;18;21;15;20;22;10;24;16;216
"150220 CAPANEMA";-;7;4;10;7;10;8;6;8;5;7;9;5;86
"150230 CAPITAO POCO";-;6;3;3;3;5;3;6;5;2;2;3;5;46
"150240 CASTANHAL";-;28;22;25;16;32;34;27;24;34;26;24;26;318
"150250 CHAVES";-;3;2;2;4;2;5;1;1;-;2;1;1;24
"150260 COLARES";-;3;-;1;2;-;4;2;3;2;5;1;-;23
"150270 CONCEICAO DO ARAGUAIA";-;5;10;6;7;5;3;-;6;5;8;4;6;65
"150275 CONCORDIA DO PARA";-;7;4;8;5;3;4;2;3;7;3;3;4;53
"150276 CUMARU DO NORTE";-;1;1;-;-;1;-;2;1;-;-;-;2;8
"150277 CURIONOPOLIS";-;9;5;7;10;4;7;5;6;5;8;7;6;79
"150280 CURRALINHO";-;4;6;8;7;2;2;-;-;2;2;5;1;39
"150285 CURUA";-;-;-;2;2;1;-;1;-;1;5;1;-;13
"150290 CURUCA";-;3;4;8;3;5;9;5;8;4;8;6;11;74
"150293 DOM ELISEU";-;6;11;5;4;6;10;5;12;7;3;16;6;91
"150295 ELDORADO DOS CARAJAS";-;7;4;3;7;14;7;8;17;10;7;14;3;101
"150300 FARO";-;1;1;1;-;2;-;-;2;2;-;2;1;12
"150304 FLORESTA DO ARAGUAIA";-;5;5;7;4;5;4;2;6;5;3;2;3;51
"150307 GARRAFAO DO NORTE";-;1;2;-;-;3;3;3;3;2;3;2;-;22
"150309 GOIANESIA DO PARA";-;3;6;2;2;2;7;6;1;4;5;3;7;48
"150310 GURUPA";-;2;4;2;7;2;4;5;5;3;3;3;3;43
"150320 IGARAPE-ACU";-;6;9;3;6;2;3;8;6;7;6;3;2;61
"150330 IGARAPE-MIRI";-;4;4;7;6;6;4;2;2;7;4;8;5;59
"150340 INHANGAPI";-;1;2;1;2;3;1;1;1;2;1;2;-;17
"150345 IPIXUNA DO PARA";-;7;6;5;6;4;6;5;7;9;6;5;5;71
"150350 IRITUIA";-;9;5;6;4;8;7;8;7;7;8;3;6;78
"150360 ITAITUBA";-;83;71;71;74;69;65;54;61;58;69;72;61;808
"150370 ITUPIRANGA";-;14;11;10;10;13;6;7;10;18;16;9;11;135
"150375 JACAREACANGA";-;8;1;5;3;2;3;1;6;5;1;4;4;43
"150380 JACUNDA";-;15;9;14;10;9;15;3;12;17;5;8;7;124
"150390 JURUTI";-;15;13;9;6;11;9;6;10;1;3;8;3;94
"150400 LIMOEIRO DO AJURU";-;4;4;6;11;4;4;2;5;4;6;8;4;62
"150405 MAE DO RIO";-;8;4;7;4;4;1;4;8;3;3;3;2;51
"150410 MAGALHAES BARATA";-;3;2;2;5;1;2;1;2;2;1;1;1;23
"150420 MARABA";-;149;116;118;112;156;130;129;151;123;156;115;97;1552
"150430 MARACANA";-;12;1;3;3;7;12;2;9;6;4;2;5;66
"150440 MARAPANIM";-;7;7;2;3;1;6;4;5;5;3;5;1;49
"150442 MARITUBA";-;38;36;45;40;40;36;31;39;42;37;40;32;456
"150445 MEDICILANDIA";-;6;7;11;7;6;8;7;4;1;1;5;-;63
"150450 MELGACO";-;4;-;2;5;2;1;1;4;2;2;1;2;26
"150460 MOCAJUBA";-;5;3;7;1;1;10;6;3;6;6;9;4;61
"150470 MOJU";-;30;12;14;22;32;28;19;14;18;16;25;20;250
"150475 MOJUI DOS CAMPOS";-;1;1;3;2;-;1;-;2;-;3;1;2;16
"150480 MONTE ALEGRE";-;7;10;24;9;11;10;8;12;3;6;10;8;118
"150490 MUANA";-;8;4;10;7;8;11;8;6;6;4;4;5;81
"150495 NOVA ESPERANCA DO PIRIA";-;2;3;2;4;2;-;6;5;1;1;1;2;29
"150497 NOVA IPIXUNA";-;2;2;3;3;2;4;1;4;1;3;2;4;31
"150500 NOVA TIMBOTEUA";-;2;1;1;-;-;-;1;2;-;1;-;-;8
"150503 NOVO PROGRESSO";-;13;19;19;12;21;11;15;15;19;15;10;14;183
"150506 NOVO REPARTIMENTO";-;9;9;16;9;14;10;7;6;5;6;6;7;104
"150510 OBIDOS";-;10;4;9;12;18;9;13;9;11;10;5;4;114
