2012
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/leishvbr.def
Visceral Leishmaniasis
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"211178 SERRANO DO MARANHAO";-;-;-;-;-;-;-;-;1;-;-;-;1
"211180 SITIO NOVO";1;-;-;1;1;-;-;1;-;1;1;2;8
"211190 SUCUPIRA DO NORTE";1;-;-;2;-;1;-;1;-;1;-;-;6
"211195 SUCUPIRA DO RIACHAO";-;1;-;-;1;1;2;-;-;-;-;-;5
"211210 TIMBIRAS";2;6;5;4;7;5;9;5;2;4;1;4;54
"211220 TIMON";7;6;16;10;15;19;13;16;10;10;6;7;135
"211223 TRIZIDELA DO VALE";2;-;-;1;4;2;-;2;-;-;2;-;13
"211227 TUFILANDIA";-;-;-;-;1;-;-;1;-;-;-;-;2
"211230 TUNTUM";-;1;1;-;3;2;-;1;2;4;3;4;21
"211240 TURIACU";-;2;1;-;-;-;-;1;-;1;-;-;5
"211245 TURILANDIA";-;-;1;-;-;1;-;-;-;-;-;-;2
"211250 TUTOIA";1;2;2;5;3;1;2;3;-;3;7;4;33
"211260 URBANO SANTOS";1;-;1;-;4;2;-;2;1;-;-;1;12
"211270 VARGEM GRANDE";4;2;1;2;5;5;7;4;3;4;1;3;41
"211280 VIANA";3;-;-;-;-;1;-;-;1;-;2;-;7
"211285 VILA NOVA DOS MARTIRIOS";1;1;-;-;1;1;2;-;1;-;1;2;10
"211290 VITORIA DO MEARIM";2;2;-;2;5;1;1;2;3;-;1;-;19
"211300 VITORINO FREIRE";-;1;1;1;1;4;2;2;1;2;3;-;18
"211400 ZE DOCA";2;1;9;9;15;6;7;6;1;5;10;8;79
"220005 ACAUA";-;-;1;-;-;-;-;1;-;-;1;-;3
"220010 AGRICOLANDIA";-;-;-;-;-;-;1;-;-;-;-;-;1
"220020 AGUA BRANCA";1;1;-;-;-;1;3;2;1;1;-;2;12
"220025 ALAGOINHA DO PIAUI";-;-;1;-;-;-;1;-;-;-;-;-;2
"220027 ALEGRETE DO PIAUI";1;1;1;-;-;-;-;-;-;-;-;-;3
"220030 ALTO LONGA";-;-;-;-;-;-;-;2;4;1;2;-;9
"220040 ALTOS";-;2;2;4;4;1;3;4;3;2;6;-;31
"220045 ALVORADA DO GURGUEIA";-;-;-;1;1;-;-;-;2;-;1;-;5
"220050 AMARANTE";2;1;1;2;-;2;1;2;4;1;1;2;19
"220060 ANGICAL DO PIAUI";-;1;1;-;1;-;-;-;-;1;-;-;4
"220070 ANISIO DE ABREU";1;-;-;-;1;-;-;1;-;-;-;-;3
"220080 ANTONIO ALMEIDA";-;1;-;-;1;2;-;-;-;1;1;-;6
"220090 AROAZES";1;-;-;-;-;-;-;-;1;-;-;-;2
"220100 ARRAIAL";-;-;-;-;-;-;-;1;-;-;-;-;1
"220105 ASSUNCAO DO PIAUI";1;-;-;-;-;-;-;-;-;-;-;-;1
"220110 AVELINO LOPES";2;4;1;3;-;3;4;4;4;2;3;4;34
"220120 BARRAS";2;4;7;6;9;2;11;9;5;7;8;2;72
"220130 BARREIRAS DO PIAUI";1;-;-;-;-;-;-;1;-;1;1;-;4
"220140 BARRO DURO";1;1;-;2;1;-;1;-;1;-;1;1;9
"220150 BATALHA";1;1;-;3;-;1;1;1;2;2;1;1;14
"220157 BELEM DO PIAUI";-;1;-;-;-;1;-;-;-;-;-;-;2
"220160 BENEDITINOS";-;1;-;-;-;-;1;-;-;-;1;-;3
"220170 BERTOLINIA";-;-;-;-;1;-;-;-;-;-;-;-;1
"220173 BETANIA DO PIAUI";1;1;-;-;-;-;-;-;2;-;-;2;6
"220177 BOA HORA";1;-;1;-;-;-;-;1;-;-;1;-;4
